,values,label,color,color_label
sex,0.21995222541968665,Sex - Male,3.0,Standard
nutrition3cat,0.12078795222193013,AHA nutrition categorization,3.0,Standard
bpmeds,0.10107645761044635,Blood pressure medication status,3.0,Standard
currentsmoker,0.06943302515540925,Current cigarette smoker,3.0,Standard
eversmoker,0.0382573044040051,History of cigarette smoking,3.0,Standard
privatepublicins_1.0,0.03333827705449292,Insurance status - Private Only,5.0,Socioeconomic
privatepublicins_3.0,0.027698644200214444,Insurance status - Private & Public,5.0,Socioeconomic
hdl,0.022134200945573897,HDL cholesterol ,3.0,Standard
waist,0.021567810451940013,Waist,3.0,Standard
discrmburden,0.020586199533114153,Discrimination burden,0.0,Psychosocial
s0fav,0.020243588785058268,"Availability of ""favorable"" food stores (1/2 mile, simple density)",2.0,Environmental
s1mrfei_noalc,0.01810516551747925,"Retail food environment index (without alcohol, 1 mile simple density)",2.0,Environmental
pctlu0,0.016688451095047137,Land use data (% of 1/2 mile buffer),2.0,Environmental
perceivedstress,0.01433336573735142,Global stress,0.0,Psychosocial
k1mrfei_noalc,0.014159857091000904,"Retail food environment index (without alcohol, 1 mile kernel density)",2.0,Environmental
pctlu1,0.013936951014559511,Land use data (% of 1 mile buffer),2.0,Environmental
abi,0.013311410531187453,Ankle brachial index,3.0,Standard
k1mrfei_tot,0.013023140255140004,"Retail food environment index (with alcohol, 1 mile kernel density)",2.0,Environmental
s1mrfei_tot,0.012695895978574014,"Retail food environment index (with alcohol, 1 mile simple density)",2.0,Environmental
vehicle_none,0.012138112984701048,No vehicle (% households),2.0,Environmental
k0pai,0.011339255009814659,"Availability of physical, instructional, and water activities (1/2 mile, kernel density)",2.0,Environmental
hba1c,0.011043959613141715,Hemoglobin A1C,3.0,Standard
k0mrfei_noalc,0.011004449699079611,"Retail food environment index (without alcohol, 1/2 mile kernel density)",2.0,Environmental
k0opai,0.010811341130118042,"Availability of outdoor activities (1/2 mile, kernel density)",2.0,Environmental
pctlu14,0.010540697175277128,Land use data (% 1/4 mile buffer),2.0,Environmental
popdenmi1,0.010117515764657142,Population density (per square mile 1 mile),2.0,Environmental
k0ipai,0.010052402738750625,"Availability of physical and instructional activities (1/2 mile, kernel density)",2.0,Environmental
privatepublicins_2.0,0.009727942275860262,Insurance status - Public Only,5.0,Socioeconomic
sbp,0.00900727212785102,Systolic blood pressure,3.0,Standard
inc_intdivrent,0.008577956250864938,"Households with interest, dividend, or rental income (%)",2.0,Environmental
s0walk,0.008164419944262365,"Availability of walking (1/2 mile, simple density)",2.0,Environmental
pa3cat,0.00810381588287324,AHA physical activity category,3.0,Standard
popdenkm1,0.008042654123301247,Population density (per square km 1 mile),2.0,Environmental
s0mrfei_noalc,0.0075940442835439855,"Retail food environment index (without alcohol, 1/2 mile simple density)",2.0,Environmental
edu3cat_less_HSgrad,0.007451973434494761,Did not complete high school,5.0,Socioeconomic
edu3cat_HSgrad,0.007225246663871124,High school graduate,5.0,Socioeconomic
depression,0.006927913133798145,Depressive symptoms,0.0,Psychosocial
s0totfood,0.0068154553250334695,"Availability of food stores (1/2 mile, simple density)",2.0,Environmental
pres1,0.0064775974503782615,Residential land use (% in 1 mile),2.0,Environmental
ldl,0.006385363781153564,LDL cholesterol,3.0,Standard
s1opai,0.006368360059255482,"Availability of outdoor activities (1 mile, simple density)",2.0,Environmental
samehouse,0.006346436595811823,Living in same house 1+ years (% population),2.0,Environmental
ownerocc_hh,0.006178984694222773,Owner-occupied households (%),2.0,Environmental
s3soc,0.005496034529252343,"Availability of social engagement activities (3 mile, simple density)",2.0,Environmental
s3unfavfo,0.005289028018359903,"Availability of ""unfavorable"" food stores (without alcohol, 3 mile, simple density)",2.0,Environmental
pcom14,0.005097660226214468,Commercial real estate (% in 1/4 mile),2.0,Environmental
pres0,0.005026956766263243,Residential land use (% in 1/2 mile),2.0,Environmental
s3fav,0.004966948828606096,"Availability of ""favorable"" food stores (3 mile, simple density)",2.0,Environmental
fpg,0.004960429677321624,Fasting glucose,3.0,Standard
phone_none,0.004716397161773231,Households with no telephone (%),2.0,Environmental
nppca_uebe,0.004698085148187953,"Neighborhood problems (age, gender adjusted unconditional empircal Bayes estimate)",2.0,Environmental
netratio0,0.0045262359926318855,"Street connectivity (1/2 mile, higher scores = better connectivity)",2.0,Environmental
lifetimediscrm,0.004480504717504747,Lifetime discrimination,0.0,Psychosocial
k3totfood,0.004050082125275319,"Availability of food stores (3 mile, kernel density)",2.0,Environmental
k0totstr,0.0038852346248572046,"Availability of any stores (1/2 mile, kernel density)",2.0,Environmental
k3unfavfo,0.003851251164064548,"Availability of ""unfavorable"" food stores (without alcohol, 3 mile, kernel density)",2.0,Environmental
k3opai,0.003696774569016251,"Availability of outdoor activities (3 mile, kernel density)",2.0,Environmental
activeindex,0.0036920167543719232,Physical activity during leisure time,3.0,Standard
educ_minhs,0.003387102572933306,High school graduate (% population 25 and over),2.0,Environmental
inc_hhge50k,0.003329823013442671,"Household income (% >= $50,000)",2.0,Environmental
k3totstr,0.003306813177184594,"Availability of any stores (3 mile, kernel density)",2.0,Environmental
race_othernh,0.003228572811259875,Non-Hispanic Other race (% population),2.0,Environmental
totchol,0.003171702114844143,Total cholesterol,3.0,Standard
pcom0,0.0030141289153234685,Commercial real estate (% in 1/2 mile),2.0,Environmental
vopca_uebe,0.002836525736010738,Neighborhood violence (weighted PCA factor score),2.0,Environmental
popden_tot,0.0028115431850401717,Population density including land and water,2.0,Environmental
k3soc,0.0027680946349286756,"Availability of social engagement activities (3 mile, kernel density)",2.0,Environmental
