,values,label,color,color_label
sex,0.21995222541968665,Sex - Male (sex),3.0,Standard
nutrition3cat,0.12078795222193013,Nutrition Categorization (nutrition3cat),3.0,Standard
bpmeds,0.10107645761044635,Blood pressure medication status (bpmeds),3.0,Standard
currentsmoker,0.06943302515540925,Cigarette Smoking Status (currentsmoker),3.0,Standard
eversmoker,0.0382573044040051,History of Cigarette Smoking (eversmoker),3.0,Standard
privatepublicins_1.0,0.03333827705449292,Insurance status - Private Only (privatepublicins_1.0),0.0,Psychosocial
privatepublicins_3.0,0.027698644200214444,Insurance status - Private & Public (privatepublicins_3.0),0.0,Psychosocial
hdl,0.022134200945573897,HDL cholesterol (hdl),3.0,Standard
waist,0.021567810451940013,Waist (waist),3.0,Standard
discrmburden,0.020586199533114153,Discrimination burden (discrmburden),0.0,Psychosocial
s0fav,0.020243588785058268,1/2 mile simple FAVORABLE FOOD STORES (s0fav),2.0,Environmental
s1mrfei_noalc,0.01810516551747925,1 mile simple MODIFIED RETAIL FOOD ENVIRONMENT INDEX EXCLUDE ALCOHOL (s1mrfei_noalc),2.0,Environmental
pctlu0,0.016688451095047137,Percent of 1/2 mile buffer in land use data (pctlu0),2.0,Environmental
perceivedstress,0.01433336573735142,Global Stress Score (perceivedstress),0.0,Psychosocial
k1mrfei_noalc,0.014159857091000904,1 mile kernel MODIFIED RETAIL FOOD ENVIRONMENT INDEX EXCLUDE ALCOHOL (k1mrfei_noalc),2.0,Environmental
pctlu1,0.013936951014559511,Percent of 1 mile buffer in land use data (pctlu1),2.0,Environmental
abi,0.013311410531187453,Ankle brachial index (abi),3.0,Standard
k1mrfei_tot,0.013023140255140004,1 mile kernel MODIFIED RETAIL FOOD ENVIRONMENT INDEX INCLUDE ALCOHOL (k1mrfei_tot),2.0,Environmental
s1mrfei_tot,0.012695895978574014,1 mile simple MODIFIED RETAIL FOOD ENVIRONMENT INDEX INCLUDE ALCOHOL (s1mrfei_tot),2.0,Environmental
vehicle_none,0.012138112984701048,% Household w/no vehicle (vehicle_none),2.0,Environmental
k0pai,0.011339255009814659,1/2 mile kernel TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL+INSTRUCTIONAL+WATER (k0pai),2.0,Environmental
hba1c,0.011043959613141715,Hemoglobin A1C (hba1c),3.0,Standard
k0mrfei_noalc,0.011004449699079611,1/2 mile kernel MODIFIED RETAIL FOOD ENVIRONMENT INDEX EXCLUDE ALCOHOL (k0mrfei_noalc),2.0,Environmental
k0opai,0.010811341130118042,1/2 mile kernel OUTDOOR TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL+WATER (k0opai),2.0,Environmental
pctlu14,0.010540697175277128,Percent of 1/4 mile buffer in land use data (pctlu14),2.0,Environmental
popdenmi1,0.010117515764657142,Population density per sq mile 1 mile (popdenmi1),2.0,Environmental
k0ipai,0.010052402738750625,1/2 mile kernel INDOOR TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL (k0ipai),2.0,Environmental
privatepublicins_2.0,0.009727942275860262,Insurance status - Public Only (privatepublicins_2.0),0.0,Psychosocial
sbp,0.00900727212785102,Systolic blood pressure (sbp),3.0,Standard
inc_intdivrent,0.008577956250864938,"% Household with interest, dividend, rental income (inc_intdivrent)",2.0,Environmental
s0walk,0.008164419944262365,1/2 mile simple WALKING (s0walk),2.0,Environmental
pa3cat,0.00810381588287324,Physical Activity (pa3cat),3.0,Standard
popdenkm1,0.008042654123301247,Population density per sq km 1 mile (popdenkm1),2.0,Environmental
s0mrfei_noalc,0.0075940442835439855,1/2 mile simple MODIFIED RETAIL FOOD ENVIRONMENT INDEX EXCLUDE ALCOHOL (s0mrfei_noalc),2.0,Environmental
edu3cat_less_HSgrad,0.007451973434494761,Education - Less than high school Graduate (edu3cat_less_HSgrad),0.0,Psychosocial
edu3cat_HSgrad,0.007225246663871124,Education - High school graduated (edu3cat_HSgrad),0.0,Psychosocial
depression,0.006927913133798145,Depressive Symptoms Score (depression),0.0,Psychosocial
s0totfood,0.0068154553250334695,1/2 mile simple TOTAL FOOD STORES (s0totfood),2.0,Environmental
pres1,0.0064775974503782615,Percent Residential 1 mile (pres1),2.0,Environmental
ldl,0.006385363781153564,LDL cholesterol (ldl),3.0,Standard
s1opai,0.006368360059255482,1 mile simple OUTDOOR TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL+WATER (s1opai),2.0,Environmental
samehouse,0.006346436595811823,% in same house (samehouse),2.0,Environmental
ownerocc_hh,0.006178984694222773,% Household owner occupied (ownerocc_hh),2.0,Environmental
s3soc,0.005496034529252343,3 mile simple SOCIAL ENGAGEMENT (s3soc),2.0,Environmental
s3unfavfo,0.005289028018359903,3 mile simple UNFAVORABLE FOOD STORES EXCLUDING ALCOHOL (s3unfavfo),2.0,Environmental
pcom14,0.005097660226214468,Percent Commercial 1/4 mile (pcom14),2.0,Environmental
pres0,0.005026956766263243,Percent Residential 1/2 mile (pres0),2.0,Environmental
s3fav,0.004966948828606096,3 mile simple FAVORABLE FOOD STORES (s3fav),2.0,Environmental
fpg,0.004960429677321624,Fasting glucose (fpg),3.0,Standard
phone_none,0.004716397161773231,% Household w/no telephone (phone_none),2.0,Environmental
nppca_uebe,0.004698085148187953,Age & gender adjusted Unconditional Empirical Bayes Estimate (UEBE) for NB Problem PCA-based (nppca_uebe),2.0,Environmental
netratio0,0.0045262359926318855,Network Ratio 1/2 mile (netratio0),2.0,Environmental
lifetimediscrm,0.004480504717504747,Lifetime discrimination (lifetimediscrm),0.0,Psychosocial
k3totfood,0.004050082125275319,3 mile kernel TOTAL FOOD STORES (k3totfood),2.0,Environmental
k0totstr,0.0038852346248572046,1/2 mile kernel TOTAL STORES (k0totstr),2.0,Environmental
k3unfavfo,0.003851251164064548,3 mile kernel UNFAVORABLE FOOD STORES EXCLUDING ALCOHOL (k3unfavfo),2.0,Environmental
k3opai,0.003696774569016251,3 mile kernel OUTDOOR TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL+WATER (k3opai),2.0,Environmental
activeindex,0.0036920167543719232,Physical activity during leisure time (activeindex),3.0,Standard
educ_minhs,0.003387102572933306,% 25+ with minimum High School education (educ_minhs),2.0,Environmental
inc_hhge50k,0.003329823013442671,"% Household w/income >= $50,000 (inc_hhge50k)",2.0,Environmental
k3totstr,0.003306813177184594,3 mile kernel TOTAL STORES (k3totstr),2.0,Environmental
race_othernh,0.003228572811259875,% other non-hispanic (race_othernh),2.0,Environmental
totchol,0.003171702114844143,Total cholesterol (totchol),3.0,Standard
pcom0,0.0030141289153234685,Percent Commercial 1/2 mile (pcom0),2.0,Environmental
vopca_uebe,0.002836525736010738,Age & gender adjusted Unconditional Empirical Bayes Estimate (UEBE) for Violence PCA-based (vopca_uebe),2.0,Environmental
popden_tot,0.0028115431850401717,population density including land+water (per km square) (popden_tot),2.0,Environmental
k3soc,0.0027680946349286756,3 mile kernel SOCIAL ENGAGEMENT (k3soc),2.0,Environmental
k1unfavfo,0.0027269797818899365,1 mile kernel UNFAVORABLE FOOD STORES EXCLUDING ALCOHOL (k1unfavfo),2.0,Environmental
intcnt1,0.0026945678465410297,Number of intersections in 1 mile buffer (intcnt1),2.0,Environmental
k1walk,0.002616555262367201,1 mile kernel WALKING (k1walk),2.0,Environmental
k0totfood,0.0025243494075046107,1/2 mile kernel TOTAL FOOD STORES (k0totfood),2.0,Environmental
occup_i,0.0024589611587770175,% managerial occupation (occup_i),2.0,Environmental
pov,0.002425783661816317,% below poverty (pov),2.0,Environmental
s0ipai,0.0024050460782869035,1/2 mile simple INDOOR TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL (s0ipai),2.0,Environmental
trigs,0.002329222088924888,Triglycerides (trigs),3.0,Standard
s3ipai,0.0021560215398376548,3 mile simple INDOOR TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL (s3ipai),2.0,Environmental
s3pai,0.0021181070135226606,3 mile simple TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL+INSTRUCTIONAL+WATER (s3pai),2.0,Environmental
netratio14,0.0020848850676049033,Network Ratio 1/4 mile (netratio14),2.0,Environmental
pret0,0.0020717963254869246,Percent Retail 1/2 mile (pret0),2.0,Environmental
k0walk,0.0017273186259220315,1/2 mile kernel WALKING (k0walk),2.0,Environmental
k1totstr,0.0017032596206078589,1 mile kernel TOTAL STORES (k1totstr),2.0,Environmental
s0unfavfo,0.0016095784998445904,1/2 mile simple UNFAVORABLE FOOD STORES EXCLUDING ALCOHOL (s0unfavfo),2.0,Environmental
k1unfav,0.0015887735311001234,1 mile kernel UNFAVORABLE FOOD STORES (k1unfav),2.0,Environmental
pcom1,0.0015588524415775691,Percent Commercial 1 mile (pcom1),2.0,Environmental
s0unfav,0.0013959275297001745,1/2 mile simple UNFAVORABLE FOOD STORES (s0unfav),2.0,Environmental
crowd_gt1_ppr,0.0011935348425512347,% Household with crowding > 1 person per room (crowd_gt1_ppr),2.0,Environmental
k1totfood,0.0011701871109511786,1 mile kernel TOTAL FOOD STORES (k1totfood),2.0,Environmental
popdenkm14,0.0009420006638861945,Population density per sq km 1/4 mile (popdenkm14),2.0,Environmental
k0unfav,0.0008607524537998236,1/2 mile kernel UNFAVORABLE FOOD STORES (k0unfav),2.0,Environmental
s3totfood,0.0007689066475220416,3 mile simple TOTAL FOOD STORES (s3totfood),2.0,Environmental
popdenmi14,0.0007659276542852111,Population density per sq mile 1/4 mile (popdenmi14),2.0,Environmental
k3walk,0.0007111708457955769,3 mile kernel WALKING (k3walk),2.0,Environmental
s0pai,0.0006841053908035541,1/2 mile simple TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL+INSTRUCTIONAL+WATER (s0pai),2.0,Environmental
popdenkm0,0.0006027618101460525,Population density per sq km 1/2 mile (popdenkm0),2.0,Environmental
weeklystress,0.00028614158108780153,Weekly stress score (weeklystress),0.0,Psychosocial
pret14,0.0001418675060099121,Percent Retail 1/4 mile (pret14),2.0,Environmental
pres14,0.0001378210667423588,Percent Residential 1/4 mile (pres14),2.0,Environmental
inc_pubass,9.969604169101044e-05,% with public assistance (inc_pubass),2.0,Environmental
s1unfavfo,9.348154259207e-05,1 mile simple UNFAVORABLE FOOD STORES EXCLUDING ALCOHOL (s1unfavfo),2.0,Environmental
inc_medhh,-1.665908185243309e-07,Median Household income (inc_medhh),2.0,Environmental
dailydiscr,-8.530001502871528e-05,Daily discrimination (dailydiscr),0.0,Psychosocial
s3walk,-0.00012970979171847001,3 mile simple WALKING (s3walk),2.0,Environmental
s3unfav,-0.0001604655387684346,3 mile simple UNFAVORABLE FOOD STORES (s3unfav),2.0,Environmental
k0soc,-0.0002158528035277091,1/2 mile kernel SOCIAL ENGAGEMENT (k0soc),2.0,Environmental
birth_foreign,-0.0002874924782119117,% foreign born (birth_foreign),2.0,Environmental
dbp,-0.0002933162680096794,Diastolic blood pressure (dbp),3.0,Standard
k3unfav,-0.00034541743536483423,3 mile kernel UNFAVORABLE FOOD STORES (k3unfav),2.0,Environmental
k3pai,-0.00036506713450577274,3 mile kernel TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL+INSTRUCTIONAL+WATER (k3pai),2.0,Environmental
k1soc,-0.00037473646508507356,1 mile kernel SOCIAL ENGAGEMENT (k1soc),2.0,Environmental
s1soc,-0.00039786654147800786,1 mile simple SOCIAL ENGAGEMENT (s1soc),2.0,Environmental
hu_sampleocc,-0.0005719326998612149,% Household occupied (hu_sampleocc),2.0,Environmental
s3totstr,-0.0006605252205494128,3 mile simple TOTAL STORES (s3totstr),2.0,Environmental
s1totstr,-0.000880509936273887,1 mile simple TOTAL STORES (s1totstr),2.0,Environmental
age,-0.001010640507403537,Age (age),3.0,Standard
k0unfavfo,-0.0011019979025506145,1/2 mile kernel UNFAVORABLE FOOD STORES EXCLUDING ALCOHOL (k0unfavfo),2.0,Environmental
k1ipai,-0.0011273735678332276,1 mile kernel INDOOR TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL (k1ipai),2.0,Environmental
bmi,-0.0011646210669168896,BMI (bmi),3.0,Standard
intcnt14,-0.0015890944384299834,Number of intersections in 1/4 mile buffer (intcnt14),2.0,Environmental
s1ipai,-0.0015919562855201993,1 mile simple INDOOR TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL (s1ipai),2.0,Environmental
