,values,label,color,color_label
weeklystress,4.928869894811592e-05,Weekly stress score (weeklystress),3.0,Standard
waist,-0.000569599547907158,Waist (waist),0.0,Psychosocial
vopca_uebe,-0.0005747895798836172,Age & gender adjusted Unconditional Empirical Bayes Estimate (UEBE) for Violence PCA-based (vopca_uebe),2.0,Environmental
vehicle_none,-0.00013253520359084867,% Household w/no vehicle (vehicle_none),2.0,Environmental
unemployed,0.0001513396462952758,% unemployed (unemployed),2.0,Environmental
trigs,-0.0001231048023449688,Triglycerides (trigs),3.0,Standard
totchol,-0.0013681020973876086,Total cholesterol (totchol),3.0,Standard
sex,0.014433448396361544,Sex (sex),0.0,Psychosocial
scpca_uebe,1.6049457674266113e-06,Age & gender adjusted Unconditional Empirical Bayes Estimate (UEBE) for Social Cohesion PCA-based (scpca_uebe),2.0,Environmental
sbp,0.0014825674947914322,Systolic blood pressure (sbp),3.0,Standard
samehouse,0.0003818592024431998,% in same house (samehouse),2.0,Environmental
s3walk,0.00027739547819324823,3 mile simple WALKING (s3walk),2.0,Environmental
s3unfavfo,0.00043789489702189473,3 mile simple UNFAVORABLE FOOD STORES EXCLUDING ALCOHOL (s3unfavfo),2.0,Environmental
s3unfav,0.0005710063566906696,3 mile simple UNFAVORABLE FOOD STORES (s3unfav),2.0,Environmental
s3totstr,-0.0007433464834569515,3 mile simple TOTAL STORES (s3totstr),2.0,Environmental
s3totfood,-0.0009195580322854431,3 mile simple TOTAL FOOD STORES (s3totfood),2.0,Environmental
s3soc,-7.322101372578617e-05,3 mile simple SOCIAL ENGAGEMENT (s3soc),2.0,Environmental
s3pai,-0.0005626186677480441,3 mile simple TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL+INSTRUCTIONAL+WATER (s3pai),2.0,Environmental
s3opai,-0.0004982946139095196,3 mile simple OUTDOOR TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL+WATER (s3opai),2.0,Environmental
s3mrfei_tot,-0.0006896240159870471,3 mile simple MODIFIED RETAIL FOOD ENVIRONMENT INDEX INCLUDE ALCOHOL (s3mrfei_tot),2.0,Environmental
s3mrfei_noalc,-0.00023502653459244396,3 mile simple MODIFIED RETAIL FOOD ENVIRONMENT INDEX EXCLUDE ALCOHOL (s3mrfei_noalc),2.0,Environmental
s3ipai,-0.00021265356632205068,3 mile simple INDOOR TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL (s3ipai),2.0,Environmental
s3fav,0.0001808430850131191,3 mile simple FAVORABLE FOOD STORES (s3fav),2.0,Environmental
s1walk,0.00023641042589305644,1 mile simple WALKING (s1walk),2.0,Environmental
s1unfavfo,-0.0006918454444506489,1 mile simple UNFAVORABLE FOOD STORES EXCLUDING ALCOHOL (s1unfavfo),2.0,Environmental
s1unfav,0.001073312691043677,1 mile simple UNFAVORABLE FOOD STORES (s1unfav),2.0,Environmental
s1totstr,-0.001531830895196299,1 mile simple TOTAL STORES (s1totstr),2.0,Environmental
s1totfood,1.64878951509358e-05,1 mile simple TOTAL FOOD STORES (s1totfood),2.0,Environmental
